AsAd,KhJh,2c 5d 6d 7c 3h,Pair of Aces,King-High,P0,(null)
AcAd,2d2s,2c 5d 6d Qd 8d,Ace-High Flush,Queen-High Flush,P0,(null)
AsAh,2s2d,2c 5d 6d 4s Kh,Pair of Aces,Three Deuces,P1,(null)
AdAh,KsJs,2c 5d 6d Kd 5c,Aces and Fives,Kings and Fives,P0,(null)
AcAh,Kc9c,2c 5d 6d 7h 3s,Pair of Aces,King-High,P0,(null)
AhAc,2s2d,2c 5d 6d Ts 8c,Pair of Aces,Three Deuces,P1,(null)
AhAc,2d2s,2c 5d 6d Jh 5h,Aces and Fives,Deuces Full over Fives,P1,(null)
AsAd,Kc8c,2c 5d 6d 4s 8d,Pair of Aces,Pair of Eights,P0,(null)
AhAd,Ks9s,2c 5d 6d 8c Td,Pair of Aces,King-High,P0,(null)
AhAc,KsQs,2c 5d 6d 8s 8h,Aces and Eights,Pair of Eights,P0,(null)
AsAc,Kh7h,2c 5d 6d Th 7c,Pair of Aces,Pair of Sevens,P0,(null)
AdAs,2h2s,2c 5d 6d Ks 7s,Pair of Aces,Three Deuces,P1,(null)
AdAc,Kh7h,2c 5d 6d 6s 5h,Aces and Sixes,Sixes and Fives,P0,(null)
AsAd,2s2d,2c 5d 6d 9d 3d,Ace-High Flush,Nine-High Flush,P0,(null)
AcAh,KsQs,2c 5d 6d 7s Ad,Three Aces,Ace-High,P0,(null)
AcAd,Kd9d,2c 5d 6d 5s Qh,Aces and Fives,Pair of Fives,P0,(null)
AdAs,Ks9s,2c 5d 6d Ah 3d,Three Aces,Ace-High,P0,(null)
AcAd,KcJc,2c 5d 6d Tc Js,Pair of Aces,Pair of Jacks,P0,(null)
AsAh,Ks8s,2c 5d 6d 3c Kc,Pair of Aces,Pair of Kings,P0,(null)
AhAd,KsJs,2c 5d 6d 3s Kh,Pair of Aces,Pair of Kings,P0,(null)
AcAs,KhQh,2c 5d 6d 7s Ts,Pair of Aces,King-High,P0,(null)
AhAc,2d2s,2c 5d 6d 9h 8d,Pair of Aces,Three Deuces,P1,(null)
AsAc,Ks9s,2c 5d 6d 8d Tc,Pair of Aces,King-High,P0,(null)
AhAc,2d2s,2c 5d 6d 3h 9c,Pair of Aces,Three Deuces,P1,(null)
AcAh,KhTh,2c 5d 6d 6c Js,Aces and Sixes,Pair of Sixes,P0,(null)
AcAd,KsQs,2c 5d 6d Td 3c,Pair of Aces,King-High,P0,(null)
AdAs,KdTd,2c 5d 6d 6h Kc,Aces and Sixes,Kings and Sixes,P0,(null)
AsAc,2s2h,2c 5d 6d Jd 7c,Pair of Aces,Three Deuces,P1,(null)
AdAh,Ks7s,2c 5d 6d Ts 8s,Pair of Aces,King-High,P0,(null)
AdAh,Kd8d,2c 5d 6d 5s Th,Aces and Fives,Pair of Fives,P0,(null)
AcAh,KdQd,2c 5d 6d 5c 8s,Aces and Fives,Pair of Fives,P0,(null)
AdAh,KsTs,2c 5d 6d 7s Td,Pair of Aces,Pair of Tens,P0,(null)
AdAc,KhTh,2c 5d 6d 4s 2s,Aces and Deuces,Pair of Deuces,P0,(null)
AcAd,2s2d,2c 5d 6d 7c Th,Pair of Aces,Three Deuces,P1,(null)
AsAd,KcTc,2c 5d 6d Ac 4c,Three Aces,Ace-High Flush,P1,(null)
AcAd,Kd9d,2c 5d 6d 2d 5s,Aces and Fives,King-High Flush,P1,(null)
AdAh,KdJd,2c 5d 6d 3d 7c,Pair of Aces,King-High Flush,P1,(null)
AsAh,Kc7c,2c 5d 6d 4c 9s,Pair of Aces,King-High,P0,(null)
AcAh,Kd9d,2c 5d 6d Js Td,Pair of Aces,King-High Flush,P1,(null)
AsAc,Ks9s,2c 5d 6d Js 4d,Pair of Aces,King-High,P0,(null)
