59;59.13;(>K3o,33,64s);33+,A2+,K2s+,Q2s+,K3o+,J2s+,Q5o+,T3s+,J7o+,95s+,T7o+,85s+,97o+,75s+,64s+,87o,54s
60;60.48;(>K2o,22,64s);22+,A2+,K2+,Q2s+,J2s+,Q5o+,T3s+,J7o+,95s+,T7o+,85s+,97o+,75s+,64s+,87o,54s
61;60.78;(>Q5o,22,74s);22+,A2+,K2+,Q2s+,J2s+,Q5o+,T3s+,J7o+,95s+,T7o+,85s+,97o+,74s+,64s+,87o,54s
62;61.99;(>Q5o,22,T2s);22+,A2+,K2+,Q2s+,J2s+,Q5o+,T2s+,J7o+,95s+,T7o+,85s+,97o+,74s+,64s+,87o,54s,76o
63;62.9;(>Q4o,22,T2s);22+,A2+,K2+,Q2s+,J2s+,Q4o+,T2s+,J7o+,95s+,T7o+,85s+,97o+,74s+,64s+,87o,54s,76o
64;64.1;(>Q4o,22,94s);22+,A2+,K2+,Q2s+,J2s+,Q4o+,T2s+,J6o+,94s+,T7o+,85s+,97o+,74s+,64s+,87o,54s,76o
65;65.31;(>Q4o,22,86o);22+,A2+,K2+,Q2s+,J2s+,Q4o+,T2s+,J6o+,94s+,T7o+,84s+,97o+,74s+,64s+,86o+,54s,76o
66;66.21;(>Q4o,22,T6o);22+,A2+,K2+,Q2s+,J2s+,Q4o+,T2s+,J6o+,94s+,T6o+,84s+,97o+,74s+,64s+,86o+,54s,76o
67;67.12;(>Q4o,22,960);22+,A2+,K2+,Q2s+,J2s+,Q4o+,T2s+,J6o+,94s+,T6o+,84s+,96o+,74s+,64s+,86o+,54s,76o
68;67.72;(>Q4o,22,53s);22+,A2+,K2+,Q2s+,J2s+,Q4o+,T2s+,J6o+,93s+,T6o+,84s+,96o+,74s+,64s+,86o+,53s+,76o
69;68.63;(>Q3o,22,53s);22+,A2+,K2+,Q2s+,J2s+,Q3o+,T2s+,J6o+,93s+,T6o+,84s+,96o+,74s+,64s+,86o+,53s+,76o
